Waste Log Report — The Black Apron
Period: 4/25/2026 to 5/25/2026
Total waste cost: £71.04

Date,Item,Quantity,Unit,Cost (£),Reason,Notes
16/05/2026,Hand-Dived Scallops,3.000,piece,8.40,spoilage,Broke during prep
12/05/2026,Chicken Thigh (Boneless),0.400,kg,3.68,spoilage,Missed use-by
13/05/2026,Baby Courgette,0.500,kg,2.80,spoilage,Didn't sell at lunch
19/05/2026,Heritage Tomatoes,0.600,kg,1.92,overproduction,Over-ordered for Sunday special
20/05/2026,Double Cream,0.200,litre,0.76,spoilage,Cream turned overnight
18/05/2026,Fresh Thyme,2.000,bunch,1.80,spoilage,Wilted in fridge
15/05/2026,Beef Bavette,0.200,kg,4.50,overcooked,Mis-fire — service error
10/05/2026,Heritage Pork Belly,0.300,kg,4.44,overcooked,Crackling burnt on pass
21/05/2026,Duck Leg (Confit-ready),0.300,kg,5.40,spoilage,Missed the confit window
17/05/2026,Rocket (Wild),0.400,kg,1.92,spoilage,Slow Tuesday — didn't shift
09/05/2026,Double Cream,0.300,litre,1.14,spoilage,Left off fridge overnight
07/05/2026,Rocket (Wild),0.300,kg,1.44,spoilage,Dropped on floor
06/05/2026,Sea Bass (Whole),0.500,kg,9.75,spoilage,Delivery day clash — aged out
03/05/2026,Beef Bavette,0.300,kg,6.75,overcooked,Cooked medium when table wanted rare
05/05/2026,Fresh Thyme,1.000,bunch,0.90,spoilage,Forgotten at back of fridge
01/05/2026,Aged Manchego (6mo),0.100,kg,2.80,contamination,Cross-contamination from garlic board
30/04/2026,Duck Leg (Confit-ready),0.400,kg,7.20,spoilage,Ordered too many for the weekend
28/04/2026,Heritage Tomatoes,1.000,kg,3.20,spoilage,"Slow week, specials didn't shift"
26/04/2026,Baby Courgette,0.400,kg,2.24,overproduction,Too much velouté prepped for banquet
